name,trig_time,t90
GRB080714086,237693853.053,5.376
GRB080714425,237723122.838,40.192
GRB080714745,237750775.023,59.649
GRB080715950,237854921.163,7.872
GRB080717543,237992556.221,36.608
GRB080719529,238164101.958,16.128
GRB080723557,238512142.375,58.369
GRB080723913,238542924.058,0.192
GRB080723985,238549063.708,42.816
GRB080724401,238585061.603,379.397
GRB080725435,238674370.056,25.92
GRB080725541,238683564.762,0.96
GRB080727964,238892867.217,89.089
GRB080730520,239113756.403,17.408
GRB080730786,239136699.181,13.312
GRB080802386,239361311.527,0.576
GRB080803772,239481083.041,26.24
GRB080804456,239540168.159,521.862
GRB080804972,239584815.879,24.704
GRB080805496,239630031.565,29.44
GRB080805584,239637667.244,65.665
GRB080806584,239724072.204,2.304
GRB080806896,239750981.824,75.777
GRB080807993,239845833.639,19.072
GRB080808451,239885404.265,4.352
GRB080808565,239895229.338,17.728
GRB080808772,239913100.736,210.178
GRB080809808,240002614.129,28.16
GRB080810549,240066613.581,75.201
GRB080812889,240268774.832,15.04
GRB080815917,240530406.085,0.832
GRB080816503,240581059.18,64.769
GRB080816989,240623035.69,4.608
GRB080817161,240637931.537,60.289
GRB080817720,240686228.519,4.416
GRB080818579,240760465.84,59.329
GRB080818945,240792050.079,13.376
GRB080821332,240998247.479,5.888
GRB080823363,241173734.143,43.456
GRB080824909,241307335.728,7.424
GRB080825593,241366429.105,20.992
GRB080828189,241590732.265,3.008
GRB080829790,241729057.42,7.68
GRB080830368,241779017.334,40.897
GRB080831053,241838175.752,0.576
GRB080831921,241913184.165,74.497
GRB080904886,242255765.751,17.344
GRB080905499,242308736.038,0.96
GRB080905570,242314890.376,26.624
GRB080905705,242326547.843,105.984
GRB080906212,242370312.547,2.875
GRB080912360,242901536.939,16.384
GRB080913735,243020312.419,41.217
GRB080916009,243216766.614,62.977
GRB080916406,243251119.938,46.337
GRB080919790,243543456.105,0.512
GRB080920268,243584749.859,113.921
GRB080924766,243973357.844,39.937
GRB080925775,244060556.997,31.744
GRB080927480,244207833.106,45.313
GRB080928628,244307097.048,14.336
GRB081003644,244740438.932,50.177
GRB081006604,244996175.173,6.4
GRB081006872,245019336.594,3.328
GRB081008832,245188682.799,126.722
GRB081009140,245215259.063,41.345
GRB081009690,245262818.338,34.56
GRB081012045,245466323.783,1.216
GRB081012549,245509824.033,30.721
GRB081017474,245935358.44,28.416
GRB081021398,246274409.015,26.112
GRB081022364,246357885.847,17.152
GRB081024245,246520390.006,0.832
GRB081024851,246572735.123,56.065
GRB081024891,246576161.864,0.64
GRB081025349,246615786.293,22.528
GRB081028538,246891309.18,13.312
GRB081101167,247204840.633,9.984
GRB081101491,247232793.058,0.128
GRB081101532,247236325.082,8.256
GRB081102365,247308301.506,1.728
GRB081102739,247340662.599,34.816
GRB081105614,247589032.287,1.28
GRB081107321,247736522.115,1.664
GRB081109293,247906923.415,58.369
GRB081110601,248019944.032,11.776
GRB081113230,248247093.897,0.576
GRB081115891,248476949.147,0.32
GRB081118876,248734854.536,20.736
GRB081119184,248761528.059,0.32
GRB081120618,248885375.567,25.344
GRB081121858,248992528.754,41.985
GRB081122520,249049693.211,23.296
GRB081122614,249057807.232,0.192
GRB081124060,249182771.848,19.456
GRB081125496,249306820.003,9.28
GRB081126899,249428050.065,54.145
GRB081129161,249623525.26,62.657
GRB081130212,249714281.719,2.24
GRB081130629,249750316.722,39.169
GRB081204004,250041925.244,7.424
GRB081204517,250086266.793,0.192
GRB081206275,250238154.018,24.576
GRB081206604,250266571.693,7.936
GRB081206987,250299711.469,22.528
GRB081207680,250359527.936,97.281
GRB081209981,250558317.389,0.192
GRB081213173,250834182.636,0.256
GRB081215784,251059717.846,5.568
GRB081215880,251068014.04,7.68
GRB081216531,251124240.994,0.768
GRB081217983,251249690.015,29.696
GRB081221681,251569273.218,29.697
GRB081222204,251614441.256,18.88
